hr,rr,stress,time,real_time
hr,rr,stress,time,real_time
84,"[0.636, 0.628]",0,00:02:40,23:59:13
84,"[0.632, 0.62]",0,00:02:41,23:59:14
86,0,0,00:02:42,23:59:16
87,"[1.036, 0.876]",0,00:02:43,23:59:17
88,[0.872],0,00:02:44,23:59:18
88,[0.872],0,00:02:45,23:59:19
88,[0.828],0,00:02:46,23:59:20
86,[0.752],0,00:02:47,23:59:21
86,"[0.748, 0.664]",0,00:02:48,23:59:22
85,[0.708],0,00:02:49,23:59:23
85,[0.772],0,00:02:50,23:59:24
84,[0.908],0,00:02:51,23:59:25
83,"[0.928, 0.924]",0,00:02:52,23:59:26
81,[0.804],0,00:02:53,23:59:27
80,[0.696],0,00:02:54,23:59:28
80,"[0.692, 0.736]",0,00:02:55,23:59:29
80,[0.744],0,00:02:56,23:59:30
80,[0.752],0,00:02:57,23:59:31
80,[0.784],0,00:02:58,23:59:32
79,"[0.856, 0.8]",0,00:02:59,23:59:33
78,[0.76],0,00:03:00,23:59:33
78,[0.796],0,00:03:01,23:59:34
78,"[0.752, 0.744]",0,00:03:02,23:59:35
79,[0.832],0,00:03:03,23:59:36
78,[0.84],0,00:03:04,23:59:37
77,[0.8],0,00:03:05,23:59:38
77,[0.844],0,00:03:06,23:59:39
77,"[0.792, 0.724]",0,00:03:07,23:59:40
77,[0.788],0,00:03:08,23:59:41
77,[0.76],0,00:03:09,23:59:42
78,"[0.704, 0.752]",0,00:03:10,23:59:43
78,[0.936],0,00:03:11,23:59:44
78,[0.896],0,00:03:12,23:59:45
77,[0.824],0,00:03:13,23:59:46
77,"[0.82, 0.772]",0,00:03:14,23:59:47
77,[0.712],0,00:03:15,23:59:48
77,[0.748],0,00:03:16,23:59:49
78,"[0.768, 0.82]",0,00:03:17,23:59:50
77,[0.792],0,00:03:18,23:59:51
77,[0.868],0,00:03:19,23:59:52
76,[0.872],0,00:03:20,23:59:53
76,[0.772],0,00:03:21,23:59:54
76,"[0.788, 0.784]",0,00:03:22,23:59:55
76,[0.72],0,00:03:23,23:59:56
77,[0.784],0,00:03:24,23:59:57
76,"[0.824, 0.768]",0,00:03:25,23:59:58
76,[0.776],0,00:03:26,23:59:59
76,[0.804],0,00:03:27,00:00:00
77,[0.744],0,00:03:28,00:00:01
78,"[0.712, 0.8]",0,00:03:29,00:00:02
77,[0.828],0,00:03:30,00:00:03
77,[0.824],0,00:03:31,00:00:04
76,[0.808],0,00:03:32,00:00:06
76,[0.848],0,00:03:33,00:00:07
75,"[0.84, 0.744]",0,00:03:34,00:00:08
76,[0.736],0,00:03:35,00:00:09
76,[0.768],0,00:03:36,00:00:10
76,"[0.816, 0.752]",0,00:03:37,00:00:11
76,[0.748],0,00:03:38,00:00:12
76,[0.832],0,00:03:39,00:00:13
76,"[0.852, 0.792]",0,00:03:40,00:00:14
76,[0.716],0,00:03:41,00:00:15
77,[0.7],0,00:03:42,00:00:16
78,"[0.756, 0.896]",0,00:03:43,00:00:17
78,[0.832],0,00:03:44,00:00:18
77,[0.736],0,00:03:45,00:00:19
77,[0.708],0,00:03:46,00:00:20
78,"[0.736, 0.868]",0,00:03:47,00:00:21
78,[0.916],0,00:03:48,00:00:22
77,[0.816],0,00:03:49,00:00:23
77,[0.712],0,00:03:50,00:00:23
77,"[0.668, 0.688]",0,00:03:51,00:00:24
78,[0.764],0,00:03:52,00:00:25
78,[0.78],0,00:03:53,00:00:26
77,[0.924],0,00:03:54,00:00:27
77,[1.052],0,00:03:55,00:00:28
76,[0.92],0,00:03:56,00:00:29
75,"[0.868, 0.828]",0,00:03:57,00:00:30
75,[0.76],0,00:03:58,00:00:31
75,[0.772],0,00:03:59,00:00:32
75,[0.78],0,00:04:00,00:00:33
75,"[0.784, 0.824]",0,00:04:01,00:00:34
75,[0.888],0,00:04:02,00:00:35
74,[0.88],0,00:04:03,00:00:36
74,[0.772],0,00:04:04,00:00:37
74,"[0.804, 0.732]",0,00:04:05,00:00:38
75,[0.712],0,00:04:06,00:00:39
76,[0.688],0,00:04:07,00:00:40
77,"[0.816, 0.832]",0,00:04:08,00:00:41
77,[0.808],0,00:04:09,00:00:42
76,[0.888],0,00:04:10,00:00:43
76,[0.836],0,00:04:11,00:00:44
76,"[0.792, 0.824]",0,00:04:12,00:00:45
75,[0.76],0,00:04:13,00:00:46
76,[0.7],0,00:04:14,00:00:47
77,"[0.66, 0.692]",0,00:04:15,00:00:48
78,[0.884],0,00:04:16,00:00:49
79,[0.888],0,00:04:17,00:00:50
79,[0.824],0,00:04:18,00:00:51
79,[0.86],0,00:04:19,00:00:52
78,"[0.824, 0.728]",0,00:04:20,00:00:53
78,[0.748],0,00:04:21,00:00:54
79,[0.732],0,00:04:22,00:00:56
79,"[0.724, 0.712]",0,00:04:23,00:00:57
79,[0.776],0,00:04:24,00:00:58
79,[0.784],0,00:04:25,00:00:59
79,"[0.756, 0.816]",0,00:04:26,00:01:00
79,[0.78],0,00:04:27,00:01:01
78,[0.76],0,00:04:28,00:01:02
79,[0.732],0,00:04:29,00:01:03
79,"[0.772, 0.748]",0,00:04:30,00:01:04
79,[0.744],0,00:04:31,00:01:05
79,[0.804],0,00:04:32,00:01:06
78,"[0.852, 0.776]",0,00:04:33,00:01:07
78,[0.784],0,00:04:34,00:01:08
78,[0.788],0,00:04:35,00:01:09
78,[0.756],0,00:04:36,00:01:10
78,"[0.756, 0.788]",0,00:04:37,00:01:11
78,[0.76],0,00:04:38,00:01:12
78,"[0.744, 0.76]",0,00:04:39,00:01:12
78,[0.792],0,00:04:40,00:01:13
78,[0.768],0,00:04:41,00:01:14
78,[0.98],0,00:04:42,00:01:15
77,[0.976],0,00:04:43,00:01:16
76,[0.864],0,00:04:44,00:01:17
76,"[0.812, 0.736]",0,00:04:45,00:01:18
76,[0.708],0,00:04:46,00:01:19
76,[0.764],0,00:04:47,00:01:20
76,[0.84],0,00:04:48,00:01:21
75,"[0.892, 0.88]",0,00:04:49,00:01:22
74,[0.848],0,00:04:50,00:01:23
74,[0.744],0,00:04:51,00:01:24
75,"[0.684, 0.668]",0,00:04:52,00:01:25
76,[0.72],0,00:04:53,00:01:26
77,[0.748],0,00:04:54,00:01:27
77,[0.768],0,00:04:55,00:01:28
77,"[0.788, 0.832]",0,00:04:56,00:01:29
77,[0.836],0,00:04:57,00:01:30
76,[0.784],0,00:04:58,00:01:31
76,[0.852],0,00:04:59,00:01:32
76,"[0.816, 0.756]",0,00:05:00,00:01:33
76,[0.784],0,00:05:01,00:01:34
76,[0.772],0,00:05:02,00:01:35
76,[0.784],0,00:05:03,00:01:36
77,"[0.748, 0.712]",0,00:05:04,00:01:37
77,[0.952],0,00:05:05,00:01:38
78,[0.808],0,00:05:06,00:01:39
78,"[0.776, 0.78]",0,00:05:07,00:01:40
77,[0.784],0,00:05:08,00:01:41
78,[0.724],0,00:05:09,00:01:42
78,"[0.76, 0.832]",0,00:05:10,00:01:43
77,[0.82],0,00:05:11,00:01:45
77,[0.796],0,00:05:12,00:01:46
76,[0.836],0,00:05:13,00:01:47
76,"[0.768, 0.708]",0,00:05:14,00:01:48
77,[0.684],0,00:05:15,00:01:49
78,[0.732],0,00:05:16,00:01:50
78,"[0.788, 0.78]",0,00:05:17,00:01:51
78,[0.768],0,00:05:18,00:01:52
78,[1.052],0,00:05:19,00:01:53
78,[0.972],0,00:05:20,00:01:54
77,[0.852],0,00:05:21,00:01:55
77,[0.796],0,00:05:22,00:01:56
76,"[0.756, 0.716]",0,00:05:23,00:01:57
77,[0.728],0,00:05:24,00:01:58
78,[0.72],0,00:05:25,00:01:59
78,"[0.732, 0.708]",0,00:05:26,00:02:00
79,[0.732],0,00:05:27,00:02:01
79,[0.776],0,00:05:28,00:02:02
78,"[0.86, 0.776]",0,00:05:29,00:02:02
78,[0.808],0,00:05:30,00:02:03
78,[0.792],0,00:05:31,00:02:04
78,[0.704],0,00:05:32,00:02:05
79,"[0.704, 0.748]",0,00:05:33,00:02:06
78,[0.812],0,00:05:34,00:02:07
78,"[0.732, 0.664]",0,00:05:35,00:02:08
80,[0.656],0,00:05:36,00:02:09
81,"[0.624, 0.644]",0,00:05:37,00:02:10
82,[0.688],0,00:05:38,00:02:11
83,"[0.64, 0.652]",0,00:05:39,00:02:12
84,[0.656],0,00:05:40,00:02:13
85,"[0.668, 0.644]",0,00:05:41,00:02:14
86,[0.656],0,00:05:42,00:02:15
86,"[0.696, 0.772]",0,00:05:43,00:02:16
86,[0.832],0,00:05:44,00:02:17
85,[0.768],0,00:05:45,00:02:18
84,"[0.772, 0.772]",0,00:05:46,00:02:19
83,[0.692],0,00:05:47,00:02:20
84,"[0.66, 0.636]",0,00:05:48,00:02:21
85,[0.672],0,00:05:49,00:02:22
86,[0.864],0,00:05:50,00:02:23
86,[0.92],0,00:05:51,00:02:24
86,"[0.732, 0.672]",0,00:05:52,00:02:25
85,[0.644],0,00:05:53,00:02:26
86,"[0.668, 0.764]",0,00:05:54,00:02:27
86,[0.804],0,00:05:55,00:02:28
85,[0.752],0,00:05:56,00:02:29
85,"[0.696, 0.712]",0,00:05:57,00:02:30
85,[0.704],0,00:05:58,00:02:31
85,[0.672],0,00:05:59,00:02:32
85,"[0.676, 0.696]",0,00:06:00,00:02:33
85,[0.752],0,00:06:01,00:02:35
85,"[0.744, 0.716]",0,00:06:02,00:02:36
84,[0.732],0,00:06:03,00:02:37
84,[0.716],0,00:06:04,00:02:38
84,"[0.696, 0.708]",0,00:06:05,00:02:39
84,[0.76],0,00:06:06,00:02:40
84,"[0.744, 0.752]",0,00:06:07,00:02:41
83,[0.808],0,00:06:08,00:02:42
82,[0.784],0,00:06:09,00:02:43
82,"[0.74, 0.772]",0,00:06:10,00:02:44
81,[0.764],0,00:06:11,00:02:45
81,[0.716],0,00:06:12,00:02:46
81,[0.764],0,00:06:13,00:02:47
81,"[0.772, 0.704]",0,00:06:14,00:02:48
81,[0.772],0,00:06:15,00:02:49
81,[0.796],0,00:06:16,00:02:50
80,"[0.808, 0.804]",0,00:06:17,00:02:51
79,[0.788],0,00:06:18,00:02:52
79,[0.724],0,00:06:19,00:02:52
80,"[0.728, 0.764]",0,00:06:20,00:02:53
80,[0.74],0,00:06:21,00:02:54
80,[0.696],0,00:06:22,00:02:55
81,"[0.704, 0.672]",0,00:06:23,00:02:56
82,[0.684],0,00:06:24,00:02:57
83,"[0.656, 0.668]",0,00:06:25,00:02:58
84,[0.668],0,00:06:26,00:02:59
84,"[0.672, 0.612]",0,00:06:27,00:03:00
86,[0.636],0,00:06:28,00:03:01
86,"[0.664, 0.656]",0,00:06:29,00:03:02
87,[0.62],0,00:06:30,00:03:03
88,"[0.624, 0.616]",0,00:06:31,00:03:04
89,"[0.648, 0.644]",0,00:06:32,00:03:05
90,[0.656],0,00:06:33,00:03:06
90,"[0.652, 0.62]",0,00:06:34,00:03:07
91,"[0.588, 0.588]",0,00:06:35,00:03:08
92,[0.596],0,00:06:36,00:03:09
93,"[0.588, 0.556]",0,00:06:37,00:03:10
95,"[0.536, 0.524]",0,00:06:38,00:03:11
97,"[0.54, 0.572]",0,00:06:39,00:03:12
98,"[0.596, 0.568]",0,00:06:40,00:03:13
99,[0.54],0,00:06:41,00:03:14
101,"[0.532, 0.536]",0,00:06:42,00:03:15
102,"[0.548, 0.556]",0,00:06:43,00:03:16
103,"[0.544, 0.532]",0,00:06:44,00:03:17
104,"[0.528, 0.524]",0,00:06:45,00:03:18
105,"[0.528, 0.512]",0,00:06:46,00:03:19
107,"[0.512, 0.508]",0,00:06:47,00:03:20
108,"[0.5, 0.512]",0,00:06:48,00:03:21
109,"[0.512, 0.508]",0,00:06:49,00:03:22
110,"[0.508, 0.5]",0,00:06:50,00:03:23
111,"[0.508, 0.516]",0,00:06:51,00:03:25
112,[0.532],0,00:06:52,00:03:26
112,"[0.516, 0.516]",0,00:06:53,00:03:27
113,"[0.508, 0.516]",0,00:06:54,00:03:28
113,"[0.528, 0.532]",0,00:06:55,00:03:29
113,"[0.536, 0.528]",0,00:06:56,00:03:30
113,"[0.54, 0.56]",0,00:06:57,00:03:31
112,"[0.572, 0.568]",0,00:06:58,00:03:32
111,[0.568],0,00:06:59,00:03:33
110,"[0.604, 0.62]",0,00:07:00,00:03:34
108,[0.652],0,00:07:01,00:03:35
107,"[0.624, 0.612]",0,00:07:02,00:03:36
105,"[0.652, 0.672]",0,00:07:03,00:03:37
103,[0.688],0,00:07:04,00:03:38
102,"[0.632, 0.64]",0,00:07:05,00:03:39
101,[0.832],0,00:07:06,00:03:40
99,[0.808],0,00:07:07,00:03:41
98,"[0.712, 0.656]",0,00:07:08,00:03:41
97,[0.744],0,00:07:09,00:03:42
95,"[0.712, 0.716]",0,00:07:10,00:03:43
94,[0.716],0,00:07:11,00:03:44
93,[0.86],0,00:07:12,00:03:45
91,[0.836],0,00:07:13,00:03:46
89,[0.848],0,00:07:14,00:03:47
87,"[0.82, 0.736]",0,00:07:15,00:03:48
86,[0.76],0,00:07:16,00:03:49
85,[0.744],0,00:07:17,00:03:50
85,"[0.732, 0.78]",0,00:07:18,00:03:51
84,[0.82],0,00:07:19,00:03:52
83,[0.74],0,00:07:20,00:03:53
83,[0.772],0,00:07:21,00:03:54
82,"[0.8, 0.764]",0,00:07:22,00:03:55
82,[0.724],0,00:07:23,00:03:56
81,[0.82],0,00:07:24,00:03:57
81,"[0.708, 0.712]",0,00:07:25,00:03:58
81,[0.804],0,00:07:26,00:03:59
81,[0.756],0,00:07:27,00:04:00
81,"[0.768, 0.792]",0,00:07:28,00:04:01
80,[0.752],0,00:07:29,00:04:02
80,[0.764],0,00:07:30,00:04:03
79,[0.86],0,00:07:31,00:04:04
79,"[0.804, 0.752]",0,00:07:33,00:04:06
79,[0.736],0,00:07:33,00:04:06
79,"[0.696, 0.68]",0,00:07:34,00:04:07
80,[0.704],0,00:07:35,00:04:08
81,[1.012],0,00:07:36,00:04:09
81,[0.82],0,00:07:37,00:04:10
81,"[0.756, 0.74]",0,00:07:38,00:04:11
81,[0.784],0,00:07:39,00:04:12
81,[0.744],0,00:07:40,00:04:13
80,[0.796],0,00:07:41,00:04:15
79,"[0.908, 0.848]",0,00:07:42,00:04:16
78,[0.772],0,00:07:43,00:04:17
78,[0.944],0,00:07:44,00:04:18
77,[0.956],0,00:07:45,00:04:19
76,[0.892],0,00:07:46,00:04:20
75,[0.884],0,00:07:47,00:04:21
74,[0.82],0,00:07:48,00:04:22
74,"[0.816, 0.856]",0,00:07:49,00:04:23
74,[0.848],0,00:07:50,00:04:24
73,[0.904],0,00:07:51,00:04:25
73,[0.812],0,00:07:52,00:04:26
73,[0.764],0,00:07:53,00:04:27
73,"[0.8, 0.776]",0,00:07:54,00:04:28
74,[0.744],0,00:07:55,00:04:29
75,[0.856],0,00:07:56,00:04:30
74,[0.808],0,00:07:57,00:04:31
75,"[0.724, 0.856]",0,00:07:58,00:04:31
75,[0.908],0,00:07:59,00:04:32
75,[0.832],0,00:08:00,00:04:33
75,[0.888],0,00:08:01,00:04:34
74,[0.852],0,00:08:02,00:04:35
74,"[0.824, 0.9]",0,00:08:03,00:04:36
73,[0.908],0,00:08:04,00:04:37
71,[0.944],0,00:08:05,00:04:38
71,[0.864],0,00:08:06,00:04:39
71,[0.824],0,00:08:07,00:04:40
71,[0.852],0,00:08:08,00:04:41
70,[0.912],0,00:08:09,00:04:42
71,"[0.86, 0.792]",0,00:08:10,00:04:43
71,[0.896],0,00:08:11,00:04:44
71,[0.824],0,00:08:12,00:04:45
71,[0.716],0,00:08:13,00:04:46
73,"[0.676, 0.68]",0,00:08:14,00:04:47
74,[0.784],0,00:08:15,00:04:48
74,[0.796],0,00:08:16,00:04:49
74,[0.86],0,00:08:17,00:04:50
73,[0.916],0,00:08:18,00:04:51
73,"[0.88, 0.872]",0,00:08:19,00:04:52
72,[0.864],0,00:08:20,00:04:53
72,[0.812],0,00:08:21,00:04:54
73,[0.788],0,00:08:22,00:04:55
